nazwa_zmiennej;kraj;wojewodztwo;przedmiot;plec;typ_informacji_z_jednostka_miary;rok;wartosc;flaga;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język hiszpański;ogółem;relacja [%];2019;63;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język hiszpański;dziewczęta;relacja [%];2019;65;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język hiszpański;chłopcy;relacja [%];2019;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język włoski;ogółem;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język włoski;dziewczęta;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język włoski;chłopcy;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język polski;ogółem;relacja [%];2019;61;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język polski;dziewczęta;relacja [%];2019;67;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język polski;chłopcy;relacja [%];2019;55;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Matematyka;ogółem;relacja [%];2019;42;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Matematyka;dziewczęta;relacja [%];2019;41;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Matematyka;chłopcy;relacja [%];2019;42;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język angielski;ogółem;relacja [%];2019;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język angielski;dziewczęta;relacja [%];2019;59;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język angielski;chłopcy;relacja [%];2019;57;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język niemiecki;ogółem;relacja [%];2019;40;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język niemiecki;dziewczęta;relacja [%];2019;44;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język niemiecki;chłopcy;relacja [%];2019;37;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język rosyjski;ogółem;relacja [%];2019;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język rosyjski;dziewczęta;relacja [%];2019;17;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język rosyjski;chłopcy;relacja [%];2019;98;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język francuski;ogółem;relacja [%];2019;55;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język francuski;dziewczęta;relacja [%];2019;55;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język francuski;chłopcy;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język hiszpański;ogółem;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język hiszpański;dziewczęta;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język hiszpański;chłopcy;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język włoski;ogółem;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język włoski;dziewczęta;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubuskie;Język włoski;chłopcy;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język polski;ogółem;relacja [%];2019;63;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język polski;dziewczęta;relacja [%];2019;69;;;;;;;;;;;;;;;;;;;;
