ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Nazwa szkoły;Miejscowość;Ulica nr;język polski_liczba zdających;język polski_wynik średni (%);język polski_odchylenie standardowe (%);język polski_mediana (%);język polski_modalna (%);matematyka_liczba zdających;matematyka_wynik średni (%);matematyka_odchylenie standardowe (%);matematyka_mediana (%);matematyka_modalna (%);język angielski_liczba zdających;język angielski_wynik średni (%);język angielski_odchylenie standardowe (%);język angielski_mediana (%);język angielski_modalna (%);język francuski_liczba zdających;język francuski_wynik średni (%);język francuski_odchylenie standardowe (%);język francuski_mediana (%);język francuski_modalna (%);język hiszpański_liczba zdających;język hiszpański_wynik średni (%);język hiszpański_odchylenie standardowe (%);język hiszpański_mediana (%);język hiszpański_modalna (%);język niemiecki_liczba zdających;język niemiecki_wynik średni (%);język niemiecki_odchylenie standardowe (%);język niemiecki_mediana (%);język niemiecki_modalna (%);język rosyjski_liczba zdających;język rosyjski_wynik średni (%);język rosyjski_odchylenie standardowe (%);język rosyjski_mediana (%);język rosyjski_modalna (%);język włoski_liczba zdających;język włoski_wynik średni (%);język włoski_odchylenie standardowe (%);język włoski_mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina wiejska;402032;80008;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W SZABDZIE;Szabda;59;34.0;55.0;15.0;57.0;67.0;34.0;53.0;27.0;56.0;20.0;33.0;65.0;30.0;60.0;98.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brzozie;Gmina wiejska;402042;19747;dla młodzieży;Tak;SZKOŁA PODSTAWOWA;Wielkie Leźno;1;12.0;67.0;14.0;71.0;78.0;12.0;54.0;26.0;54.0;60.0;12.0;65.0;29.0;69.0;95.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brzozie;Gmina wiejska;402042;19750;dla młodzieży;Tak;SZKOŁA PODSTAWOWA;Jajkowo;11;9.0;;;;;9.0;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brzozie;Gmina wiejska;402042;19748;dla młodzieży;Tak;SZKOŁA PODSTAWOWA;Brzozie;51B;9.0;;;;;9.0;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Górzno;Miasto;402054;16480;dla młodzieży;Tak;SZKOŁA PODSTAWOWA;Górzno;ul. Fryderyka Chopina 1;24.0;49.0;15.0;50.0;64.0;24.0;49.0;19.0;46.0;48.0;23.0;39.0;24.0;33.0;16.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Górzno;Obszar wiejski;402055;9233;dla młodzieży;Nie;NIEPUBLICZNA SZKOŁA PODSTAWOWA;Gołkowo;26;13.0;56.0;13.0;53.0;53.0;13.0;41.0;22.0;36.0;20.0;13.0;47.0;27.0;42.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Górzno;Obszar wiejski;402055;9371;dla młodzieży;Nie;SZKOŁA PODSTAWOWA SPSK;Miesiączkowo;25;12.0;45.0;22.0;47.0;20.0;13.0;32.0;20.0;24.0;16.0;12.0;36.0;19.0;30.0;24.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Jabłonowo Pomorskie;Obszar wiejski;402075;43872;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. IGNACEGO ŁYSKOWSKIEGO;Górale;11;21.0;51.0;22.0;58.0;69.0;21.0;30.0;21.0;24.0;8.0;21.0;48.0;31.0;33.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Jabłonowo Pomorskie;Obszar wiejski;402075;79205;dla młodzieży;Tak;SZKOŁA PODSTAWOWA;Płowęż;16;10.0;49.0;16.0;49.0;40.0;10.0;47.0;23.0;42.0;20.0;9.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Jabłonowo Pomorskie;Miasto;402074;43804;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM.JANUSZA KUSOCIŃSKIEGO;Jabłonowo Pomorskie;ul. Słoneczna 2;54.0;58.0;17.0;60.0;51.0;54.0;35.0;22.0;30.0;12.0;54.0;55.0;29.0;51.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;
