ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Nazwa szkoły;Miejscowość;Ulica nr;liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Bydgoski;Białe Błota;Gmina wiejska;0403012;104764;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. KS. JANA TWARDOWSKIEGO W PRZYŁĘKACH;Przyłęki;ul. Zabytkowa 5;21;71;13;71;78;21;64;16;68;80;21;80;23;93;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Dobrcz;Gmina wiejska;0403032;83738;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W KOZIELCU;Kozielec;24;12;47;15;41;31;12;39;23;36;36;12;45;25;40;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Dobrcz;Gmina wiejska;0403032;84109;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. KAZIMIERZA GÓRSKIEGO W DOBRCZU;Dobrcz;ul. Długa 33;35;60;14;62;44;35;42;26;44;20;35;69;30;85;100;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Dobrcz;Gmina wiejska;0403032;83825;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. 8-GO BYDGOSKIEGO PUŁKU PIECHOTY W BORÓWNIE;Borówno;ul. Szkolna 13;11;68;12;67;62;11;55;16;60;32;11;70;26;73;44;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Dobrcz;Gmina wiejska;0403032;83737;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W STRZELCACH GÓRNYCH;Strzelce Górne;ul. Szkolna 6;4;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Dobrcz;Gmina wiejska;0403032;82705;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. PORUCZNIKA WACŁAWA TARNOWSKIEGO W WUDZYNIE;Wudzyn;ul. Zamkowa 12;13;48;14;47;42;13;28;13;24;20;13;53;24;45;33;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Dobrcz;Gmina wiejska;0403032;83725;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. STEFANA ŻEROMSKIEGO W KOTOMIERZU;Kotomierz;ul. Koronowska 2;17;53;20;58;62;17;40;21;40;40;17;59;26;56;53;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Dąbrowa Chełmińska;Gmina wiejska;0403022;57118;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W DĄBROWIE CHEŁMIŃSKIEJ;Dąbrowa Chełmińska;ul. Sportowa 1;48;51;17;51;47;48;36;21;32;28;48;49;29;38;15;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Dąbrowa Chełmińska;Gmina wiejska;0403022;57121;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. MAGDALENY MORTĘSKIEJ W CZARŻU;Czarże;ul. Chełmińska 47;16;44;15;42;42;16;29;17;28;28;16;52;33;51;18;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Dąbrowa Chełmińska;Gmina wiejska;0403022;57124;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W OSTROMECKU;Ostromecko;ul. Szkolna 1;20;63;13;65;56;20;53;27;52;24;20;66;27;70;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Koronowo;Miasto;0403044;125684;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 4 W ZAKŁADZIE POPRAWCZYM I SCHRONISKU DLA NIELETNICH W KORONOWIE;Koronowo;ul. Dworcowa 36;1;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Koronowo;Obszar wiejski;0403045;61601;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W SITOWCU;Sitowiec;16;11;66;13;64;56;11;39;17;36;36;11;57;29;44;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Koronowo;Obszar wiejski;0403045;61902;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W WITOLDOWIE;Witoldowo;33;9;;;;;9;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Koronowo;Obszar wiejski;0403045;62106;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W BUSZKOWIE;Buszkowo;53;21;54;18;58;44;21;49;25;44;48;21;50;33;38;100;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Koronowo;Miasto;0403044;62305;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 2 IM. JANA PAWŁA II W KORONOWIE;Koronowo;ul. Dworcowa 48;64;55;20;58;58;64;40;25;30;20;57;54;29;55;100;;;;;;;;;;;8;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Koronowo;Obszar wiejski;0403045;75280;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. OBROŃCÓW WESTERPLATTE W MĄKOWARSKU;Mąkowarsko;ul. Tucholska 8;13;64;14;71;71;13;54;24;60;24;13;67;26;64;58;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Koronowo;Obszar wiejski;0403045;75272;dla młodzieży;Tak;ZESPÓŁ SZKÓŁ WE WTELNIE SZKOŁA PODSTAWOWA IM. LEONA WYCZÓŁKOWSKIEGO;Wtelno;ul. Szkolna 7;27;51;21;51;20;27;36;23;32;12;27;59;30;60;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Koronowo;Obszar wiejski;0403045;75278;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. KPT. Ż. W. TADEUSZA ZIÓŁKOWSKIEGO W WIERZCHUCINIE KRÓLEWSKIM;Wierzchucin Królewski;35;19;43;22;44;16;19;31;24;24;20;19;44;30;31;22;;;;;;;;;;;;;;;;;;;;;;;;;
