ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Identyfikator szkoły;Nazwa szkoły;Miejscowość;Ulica nr;liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina wiejska;0402032;80005;dla młodzieży;Tak;040203-03P16;SZKOŁA PODSTAWOWA IM. ZIEMI MICHAŁOWSKIEJ W GORTATOWIE Z SIEDZIBĄ W SZCZUCE;Szczuka;34;21;66,66666667;16,41234533;69;69;21;55,42857143;29,50475576;56;24;21;56,28571429;30,18694587;44;100;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina wiejska;0402032;80008;dla młodzieży;Tak;040203-35P0M;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W SZABDZIE;Szabda;59;49;68,85714286;9,829152807;69;69;49;62,12244898;26,66927656;64;48;48;73,47916667;24,87802711;85;93;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brzozie;Gmina wiejska;0402042;19747;dla młodzieży;Tak;040204-12P0S;SZKOŁA PODSTAWOWA;Wielkie Leźno;1;7;68;15,13746535;64;64;7;45,14285714;29,83491996;36;;7;56,85714286;27,56513622;65;22;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brzozie;Gmina wiejska;0402042;19750;dla młodzieży;Tak;040204-13P0H;SZKOŁA PODSTAWOWA;Jajkowo;11;18;60,44444444;12,85484008;56;53;18;55,55555556;25,18867078;52;52;18;59,27777778;27,02633604;62;25;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brzozie;Gmina wiejska;0402042;19748;dla młodzieży;Tak;040204-34P0G;SZKOŁA PODSTAWOWA;Brzozie;51B;31;61;12,14960506;64;64;31;56,90322581;25,89725959;60;60;31;65,48387097;25,43032349;75;84;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Górzno;Miasto;0402054;16480;dla młodzieży;Tak;040205-01P0Z;SZKOŁA PODSTAWOWA;Górzno;ul. Fryderyka Chopina 1;36;65,38888889;15,64409327;62;58;37;59,78378378;25,97205893;64;64;37;53,94594595;29,03953125;53;16;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Górzno;Obszar wiejski;0402055;9233;dla młodzieży;Nie;040205-24P0C;NIEPUBLICZNA SZKOŁA PODSTAWOWA;Gołkowo;26;19;55,84210526;13,96334735;56;56;19;54,73684211;27,34736032;44;40;19;39,36842105;23,3490911;31;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Górzno;Obszar wiejski;0402055;9371;dla młodzieży;Nie;040205-25P01;SZKOŁA PODSTAWOWA SPSK;Miesiączkowo;25;12;58;21,08316864;67;67;12;44;29,52964612;44;12;12;37,33333333;28,05748068;34;36;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Jabłonowo Pomorskie;Obszar wiejski;0402075;43872;dla młodzieży;Tak;040207-27P0H;SZKOŁA PODSTAWOWA IM. IGNACEGO ŁYSKOWSKIEGO;Górale;11;12;54;17,3108829;56;56;12;32;22,97825059;24;24;12;54,58333333;31,03347207;64;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Jabłonowo Pomorskie;Obszar wiejski;0402075;79205;dla młodzieży;Tak;040207-28P06;SZKOŁA PODSTAWOWA;Płowęż;16;8;62,75;10,9287465;61;;8;62;27,4226184;68;24;8;47,25;24,15445094;43,5;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Jabłonowo Pomorskie;Miasto;0402074;43804;dla młodzieży;Tak;040207-29PNO;SZKOŁA PODSTAWOWA IM.JANUSZA KUSOCIŃSKIEGO;Jabłonowo Pomorskie;ul. Słoneczna 2;69;64,68115942;16,97866756;67;64;69;34,84057971;22,04713211;28;20;68;55,04411765;27,18695287;50;25;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Osiek;Gmina wiejska;0402082;34799;dla młodzieży;Tak;040208-15P0Z;SZKOŁA PODSTAWOWA W STRZYGACH;Strzygi;46;13;68,07692308;7,730673555;64;62;13;53,53846154;24,83364772;56;;13;55,38461538;26,79419702;65;84;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Osiek;Gmina wiejska;0402082;34797;dla młodzieży;Tak;040208-33P0V;SZKOŁA PODSTAWOWA IM. KAWALERÓW ORDERU UŚMIECHU W OSIEKU;Osiek;80;39;59,92307692;15,12407592;64;67;39;40,51282051;25,60736252;32;16;36;56,41666667;28,6078612;60;22;;;;;;;;;;;3;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Zbiczno;Gmina wiejska;0402102;58437;dla młodzieży;Tak;040210-20P0E;SZKOŁA PODSTAWOWA W POKRZYDOWIE;Pokrzydowo;23;26;60,15384615;15,33395505;63;69;26;53,53846154;24,4339467;46;40;26;61,42307692;24,7684245;65,5;80;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Zbiczno;Gmina wiejska;0402102;56375;dla młodzieży;Tak;040210-37P0W;SZKOŁA PODSTAWOWA IM. NOBLISTÓW POLSKICH W ZBICZNIE;Zbiczno;ul. Szosa Brodnicka 77;54;62,22222222;14,92905031;62;62;54;44,37037037;26,50247808;36;20;54;58,14814815;28,28912067;56;44;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Świedziebnia;Gmina wiejska;0402092;14353;dla młodzieży;Tak;040209-06P0K;SZKOŁA PODSTAWOWA IM. PPOR. PIOTRA WYSOCKIEGO W ŚWIEDZIEBNI;Świedziebnia;51;54;58,96296296;18,57812629;67;67;54;43,33333333;24,25482006;40;16;54;50,7962963;28,65657421;43;20;;;;;;;;;;;;;;;;1;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Świedziebnia;Gmina wiejska;0402092;14356;dla młodzieży;Tak;040209-17P0W;SZKOŁA PODSTAWOWA W JANOWIE;Janowo;145A;17;76,64705882;12,04863271;73;64;17;46,35294118;22,58823529;44;20;17;64,17647059;26,92524574;62;29;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Białe Błota;Gmina wiejska;0403012;110007;dla młodzieży;Tak;040301-04P16;SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W ŁOCHOWIE;Łochowo;ul. Wierzbowa 2;129;70,23255814;14,16104036;73;76;129;63,84496124;28,73413269;72;100;127;73,33070866;24,96676692;82;95;;;;;;;;;;;2;;;;;;;;;;;;;;
